year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,7.074,6.916666666666667,6.763333333333334,7.6148,6.367692307692308,6.95,6.967499999999999,7.4325,6.826,5.954444444444444
2009,6.9,6.8,6.450952380952381,7.3812,6.134615384615385,6.575,6.775,7.2941666666666665,6.908285714285714,5.618333333333333
2010,7.054,6.973333333333334,6.473809523809523,7.364,6.217692307692308,6.76,6.6575,7.483333333333333,6.809714285714286,5.598888888888889
2011,7.292,6.988333333333333,6.646190476190476,7.3915999999999995,6.230769230769231,6.93,6.925,7.565,6.750571428571429,5.72
2012,7.324,6.9383333333333335,6.674761904761904,7.3844,6.213846153846154,7.055,6.76,7.5874999999999995,6.7785714285714285,5.7011111111111115
2013,7.388,6.93,6.588571428571429,7.3568,6.26,6.935,6.5625,7.642499999999999,6.7297142857142855,5.748333333333333
2014,7.312,6.868333333333333,6.515714285714286,7.4748,6.173846153846155,7.11,6.175,7.689166666666666,6.632285714285715,5.757777777777778
2015,7.314,6.763333333333333,6.44095238095238,7.5520000000000005,6.102307692307692,6.875,6.2975,7.635000000000001,6.7051428571428575,5.785555555555556
2016,7.294,6.528333333333333,6.623333333333333,7.5203999999999995,6.130769230769231,6.965,6.37,7.6275,6.6494285714285715,5.817777777777778
2017,7.316,7.0,6.654285714285715,7.4524,6.122307692307692,7.005,6.2625,7.69,6.859999999999999,5.836111111111111
2018,7.325999999999999,7.04,6.608095238095238,7.466,6.113846153846154,6.99,6.265,7.618333333333333,6.943142857142857,5.83
2019,7.316,6.9799999999999995,6.601428571428571,7.446000000000001,6.116153846153846,6.85,6.21,7.655,6.965142857142857,5.816666666666666
