year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,8.06,9.003333333333332,8.465238095238096,7.803999999999999,7.9192307692307695,9.614999999999998,8.0275,6.595833333333334,6.669714285714286,9.355555555555556
2009,8.378,9.036666666666667,8.781904761904762,8.0656,7.9,9.575,8.28,6.892500000000001,6.809714285714286,9.332777777777778
2010,8.136,8.92,8.826190476190476,8.0396,7.983846153846154,9.57,8.265,7.015000000000001,6.895714285714286,9.370555555555555
2011,8.142,8.968333333333334,8.850952380952382,8.1092,8.14,9.215,8.1725,7.050000000000001,6.949142857142857,9.405
2012,8.440000000000001,8.938333333333333,8.886666666666667,8.0936,8.10153846153846,9.350000000000001,8.2775,7.1325,7.049714285714286,9.413888888888888
2013,8.428,9.101666666666667,8.913333333333334,8.1172,8.015384615384615,9.445,8.035,7.565833333333334,7.194285714285715,9.513333333333334
2014,8.716,9.138333333333334,8.888571428571428,8.126800000000001,8.127692307692307,9.495000000000001,8.147499999999999,7.670833333333333,7.288285714285714,9.559444444444445
2015,8.675999999999998,9.291666666666666,8.805238095238096,8.1996,7.920000000000001,9.67,7.9275,7.914166666666667,7.319142857142857,9.39
2016,8.776,9.386666666666667,8.836190476190476,8.2716,8.082307692307692,9.715,7.9525,7.890000000000001,7.42057142857143,9.498888888888889
2017,8.681999999999999,9.373333333333333,8.76952380952381,8.3284,8.034615384615385,9.695,7.95,7.947500000000001,7.354571428571429,9.354444444444445
2018,8.824,9.326666666666666,8.926190476190476,8.3996,8.196923076923078,9.64,8.095,7.991666666666667,7.381428571428572,9.431666666666665
2019,8.862,9.243333333333334,8.952857142857143,8.404,7.989230769230769,9.690000000000001,8.15,7.98,7.386857142857143,9.481111111111112
