year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,6.9799999999999995,7.455000000000001,7.194761904761905,6.922,6.53923076923077,8.29,7.575000000000001,6.31,6.003999999999999,7.770555555555554
2009,6.95,7.489999999999999,7.181904761904763,6.910399999999999,6.494615384615385,8.115,7.574999999999999,6.369166666666666,6.084000000000001,7.692777777777778
2010,6.934,7.535,7.241904761904762,6.881999999999998,6.533076923076924,8.16,7.547500000000001,6.464999999999999,6.066857142857141,7.745555555555557
2011,7.011999999999999,7.531666666666667,7.297142857142857,6.924799999999999,6.581538461538462,8.085,7.595,6.4991666666666665,6.067714285714285,7.807222222222224
2012,7.1240000000000006,7.521666666666666,7.309523809523808,6.872800000000002,6.453846153846153,8.165,7.595,6.588333333333334,6.084857142857142,7.798333333333334
2013,7.156000000000001,7.551666666666667,7.292380952380953,6.878400000000002,6.429999999999999,8.18,7.450000000000001,6.7058333333333335,6.133714285714286,7.805555555555555
2014,7.336,7.6000000000000005,7.401428571428572,6.873999999999999,6.415384615384616,8.235,7.4275,6.7175,6.123714285714287,7.908888888888888
2015,7.307999999999998,7.64,7.339523809523808,6.902800000000001,6.359230769230769,8.254999999999999,7.379999999999999,6.764166666666668,6.143142857142857,7.888333333333332
2016,7.318,7.6433333333333335,7.376190476190477,6.9184,6.41076923076923,8.315,7.3825,6.787499999999999,6.174857142857142,7.907777777777778
2017,7.343999999999999,7.758333333333333,7.398095238095237,6.924799999999999,6.348461538461539,8.3,7.4,6.8175,6.201428571428571,7.908333333333333
2018,7.442,7.776666666666666,7.446666666666668,6.9712,6.423076923076922,8.184999999999999,7.3575,6.854166666666667,6.256,7.894444444444444
2019,7.483999999999999,7.738333333333334,7.466666666666666,6.954800000000001,6.405384615384615,8.15,7.382499999999999,6.852500000000002,6.30542857142857,7.907222222222223
