year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,7.08,7.461666666666666,7.67,7.435599999999999,7.0661538461538465,8.155,7.442500000000001,6.219166666666666,5.904,8.191666666666665
2009,6.974000000000001,7.5616666666666665,7.656190476190478,7.307200000000002,7.087692307692307,8.055,7.4625,6.245,5.949999999999999,8.22888888888889
2010,6.914,7.579999999999999,7.683809523809523,7.259200000000001,7.081538461538462,8.05,7.49,6.183333333333334,6.027714285714287,8.22111111111111
2011,6.847999999999999,7.526666666666666,7.615714285714287,7.2884,7.104615384615385,7.9350000000000005,7.51,6.210000000000001,6.052571428571428,8.19222222222222
2012,6.986,7.605,7.57,7.1736,6.71923076923077,7.95,7.5275,6.531666666666666,6.050285714285715,8.136666666666665
2013,7.016,7.655,7.587619047619047,7.1964,6.779999999999999,7.9399999999999995,7.442500000000001,6.545833333333333,6.11857142857143,8.056111111111111
2014,7.526000000000001,7.798333333333333,8.051428571428572,7.1423999999999985,6.592307692307693,8.035,7.609999999999999,6.436666666666667,6.047428571428569,8.416666666666666
2015,7.593999999999999,7.721666666666668,8.004285714285716,7.183199999999999,6.606923076923077,7.970000000000001,7.625,6.420833333333333,6.008285714285713,8.337222222222223
2016,7.601999999999999,7.8133333333333335,8.006666666666668,7.2736,6.640769230769229,8.035,7.545,6.4525,6.035142857142856,8.355555555555556
2017,7.790000000000001,7.850000000000001,8.112380952380953,7.284000000000001,6.718461538461539,7.8149999999999995,7.470000000000001,6.515000000000001,6.032571428571428,8.43888888888889
2018,7.726000000000001,7.8566666666666665,8.126190476190477,7.453599999999999,6.595384615384616,7.71,7.540000000000001,6.54,5.995714285714285,8.41722222222222
2019,7.832000000000001,7.916666666666667,8.148095238095237,7.326399999999998,6.559230769230769,7.76,7.64,6.543333333333334,6.176571428571427,8.445555555555556
