year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,6.864,7.905,7.984761904761905,7.5264,6.083076923076923,8.864999999999998,8.1,6.4725,6.519142857142858,8.725555555555555
2009,6.773999999999999,7.928333333333334,7.980476190476191,7.5004,6.065384615384615,8.8,8.0775,6.483333333333333,6.514571428571428,8.687777777777777
2010,6.82,7.958333333333333,8.015238095238095,7.4963999999999995,6.056923076923076,8.82,8.0775,6.565833333333334,6.5285714285714285,8.702222222222222
2011,6.82,7.953333333333333,8.023809523809524,7.509200000000001,6.011538461538462,8.79,8.0525,6.609999999999999,6.539142857142857,8.73
2012,6.886,7.94,8.002380952380953,7.4748,5.933076923076923,8.805,8.0475,6.600833333333334,6.514571428571428,8.727222222222222
2013,6.964,7.925,7.967619047619047,7.434,5.857692307692308,8.835,8.0,6.588333333333334,6.524285714285714,8.735
2014,7.05,7.93,7.997142857142857,7.438400000000001,5.785384615384615,8.89,8.0275,6.5625,6.522571428571428,8.778333333333332
2015,7.040000000000001,7.913333333333334,7.947619047619048,7.425599999999999,5.733846153846154,8.89,8.047500000000001,6.5925,6.503714285714286,8.753888888888888
2016,7.0840000000000005,7.928333333333334,7.966666666666667,7.4336,5.729230769230769,8.870000000000001,8.0525,6.615833333333334,6.506,8.753888888888888
2017,7.151999999999999,8.03,7.961904761904761,7.4716,5.688461538461539,8.84,8.094999999999999,6.585833333333333,6.493428571428572,8.740555555555554
2018,7.258,8.026666666666666,7.962380952380952,7.4724,5.741538461538462,8.79,8.135,6.616666666666667,6.534,8.731666666666667
2019,7.302,7.963333333333334,7.981428571428572,7.435599999999999,5.7469230769230775,8.79,8.095,6.593333333333334,6.545142857142857,8.726111111111111
