year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,5.924,7.61,8.70952380952381,8.5992,4.457692307692308,9.42,8.149999999999999,6.206666666666667,7.195142857142858,9.522777777777778
2009,5.828,7.655,8.700952380952382,8.5612,4.374615384615385,9.42,8.1325,6.321666666666666,7.150571428571429,9.53
2010,6.058,7.668333333333334,8.73047619047619,8.5556,4.33,9.42,8.21,6.430833333333333,7.155428571428572,9.532222222222224
2011,6.184,7.668333333333334,8.663333333333334,8.568,4.64,9.42,8.2875,6.621666666666666,7.164571428571429,9.524444444444445
2012,6.096,7.6499999999999995,8.627619047619048,8.5304,4.586923076923076,9.42,8.2975,6.640000000000001,7.163714285714286,9.527222222222223
2013,6.104,7.555,8.512380952380951,8.4392,4.549230769230769,9.454999999999998,8.397499999999999,6.591666666666666,7.058571428571429,9.502777777777778
2014,5.914,7.401666666666666,8.524285714285714,8.4032,4.477692307692307,9.454999999999998,8.655,6.298333333333333,7.0202857142857145,9.504444444444445
2015,5.846,7.28,8.46809523809524,8.3256,4.35,9.489999999999998,8.7675,6.195833333333333,6.9711428571428575,9.459444444444445
2016,5.859999999999999,7.313333333333333,8.407142857142858,8.304,4.27923076923077,9.36,8.655,6.263333333333333,6.9314285714285715,9.460555555555555
2017,6.072,7.426666666666667,8.370476190476191,8.3592,4.128461538461538,9.399999999999999,8.71,6.1433333333333335,6.811999999999999,9.436666666666667
2018,6.166,7.445,8.317619047619047,8.387599999999999,4.083846153846154,9.555,8.885,6.090833333333333,6.832,9.408333333333333
2019,6.4159999999999995,7.128333333333334,8.427619047619046,8.3048,4.093076923076923,9.684999999999999,8.7325,6.145833333333333,6.742285714285714,9.400555555555556
