year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,5.002,7.5683333333333325,8.173809523809524,7.8852,4.915384615384616,9.469999999999999,7.925000000000001,5.791666666666667,6.888000000000001,9.419444444444444
2009,4.786,7.583333333333333,8.180952380952382,7.8168,4.885384615384615,9.48,7.92,5.751666666666666,6.786000000000001,9.427222222222222
2010,4.794,7.6066666666666665,8.201428571428572,7.87,4.695384615384615,9.49,7.914999999999999,5.7625,6.879142857142857,9.420555555555556
2011,4.781999999999999,7.603333333333334,8.081904761904763,7.7324,4.71,9.469999999999999,7.904999999999999,5.811666666666667,6.816571428571427,9.425
2012,4.981999999999999,7.611666666666667,8.097619047619046,7.758799999999999,4.646923076923077,9.469999999999999,7.895,5.889166666666665,6.826,9.417222222222222
2013,5.488,7.408333333333334,7.8942857142857115,7.729600000000001,4.446153846153846,9.504999999999999,7.8100000000000005,5.923333333333333,6.774571428571429,9.400555555555556
2014,5.736,7.3566666666666665,7.882380952380952,7.799599999999999,4.3707692307692305,9.495000000000001,7.987499999999999,5.878333333333333,6.800285714285715,9.391111111111112
2015,5.710000000000001,7.293333333333332,7.8233333333333315,7.699599999999999,4.252307692307692,9.475000000000001,8.0775,5.926666666666666,6.759714285714286,9.336666666666668
2016,5.74,7.3933333333333335,7.736190476190477,7.7151999999999985,4.184615384615384,9.399999999999999,8.1775,5.857499999999999,6.733142857142858,9.35555555555556
2017,5.612000000000001,7.488333333333334,7.576190476190476,7.7128000000000005,4.15923076923077,9.335,8.0975,5.805,6.584,9.220555555555556
2018,5.746,7.445,7.522380952380952,7.654400000000002,4.247692307692307,9.3,8.175,5.810833333333332,6.686285714285713,9.197222222222225
2019,5.720000000000001,7.318333333333334,7.54,7.5232,4.216153846153847,9.31,8.09,5.829999999999999,6.572285714285714,9.161111111111111
