year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,6.866,8.383333333333333,9.078095238095237,9.381599999999999,5.548461538461538,9.8,9.335,7.4425,8.647428571428572,9.71
2009,6.748,8.383333333333333,9.047619047619047,9.368,5.604615384615385,9.8,9.2975,7.3374999999999995,8.550571428571429,9.636666666666667
2010,6.772,8.365,9.045238095238094,9.3552,5.598461538461539,9.8,9.27,7.376666666666666,8.646571428571429,9.555
2011,6.606,8.358333333333333,9.111428571428572,9.4916,5.599230769230768,9.8,9.27,7.5566666666666675,8.718857142857143,9.692222222222222
2012,6.587999999999999,8.248333333333333,9.029523809523809,9.5168,5.623076923076923,9.825,9.325,7.516666666666667,8.659142857142857,9.623333333333333
2013,6.452000000000001,8.203333333333333,8.926190476190476,9.443999999999999,5.41,9.83,9.35,7.433333333333334,8.414285714285715,9.615555555555556
2014,6.51,8.17,8.824761904761905,9.303199999999999,5.165384615384616,9.83,9.24,7.365833333333334,8.448285714285714,9.558333333333334
2015,6.395999999999999,8.136666666666667,8.784285714285714,9.1952,5.157692307692307,9.82,9.475,7.310833333333332,8.359428571428571,9.541111111111112
2016,6.362,8.1,8.833333333333334,9.2724,5.100769230769231,9.690000000000001,9.4775,7.285833333333334,8.339142857142857,9.538888888888888
2017,6.37,8.19,8.743333333333332,9.38,5.009230769230769,9.629999999999999,9.59,7.1275,8.17457142857143,9.522777777777778
2018,6.802,8.183333333333334,8.733809523809523,9.308,5.119230769230769,9.504999999999999,9.575,7.159166666666667,8.252571428571429,9.499444444444444
2019,6.848000000000001,8.083333333333334,8.691904761904762,9.1996,5.193846153846153,9.504999999999999,9.51,7.024166666666667,8.234857142857143,9.452222222222224
