year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,6.782000000000001,8.223333333333334,8.569999999999999,7.992400000000001,5.752307692307692,9.295,8.4875,6.569166666666668,6.893999999999999,9.416111111111109
2009,6.65,8.235000000000001,8.574761904761905,7.955599999999999,5.753846153846154,9.305,8.450000000000001,6.548333333333333,6.828571428571429,9.408888888888887
2010,6.734,8.250000000000002,8.59142857142857,7.968000000000001,5.7192307692307685,9.315,8.46,6.619166666666666,6.864857142857143,9.394444444444444
2011,6.682,8.255,8.542857142857143,7.9255999999999975,5.6038461538461535,9.295,8.372499999999999,6.6875,6.873714285714286,9.390555555555556
2012,6.714,8.235000000000001,8.495238095238095,7.906000000000001,5.559999999999999,9.260000000000002,8.3675,6.607499999999999,6.822571428571428,9.391666666666667
2013,6.832000000000001,8.193333333333333,8.450952380952382,7.833200000000001,5.451538461538462,9.305,8.3875,6.504166666666666,6.803142857142858,9.397777777777778
2014,6.846000000000001,8.165000000000001,8.422380952380951,7.840799999999999,5.336153846153845,9.36,8.455,6.451666666666667,6.806571428571428,9.401666666666667
2015,6.85,8.11,8.382857142857143,7.798800000000001,5.288461538461538,9.345,8.52,6.468333333333334,6.758285714285716,9.373333333333335
2016,6.916000000000001,8.133333333333333,8.389523809523808,7.802399999999999,5.2469230769230775,9.27,8.5275,6.4925,6.742000000000001,9.359444444444442
2017,7.016,8.223333333333334,8.362380952380953,7.8576000000000015,5.218461538461539,9.215,8.602500000000001,6.433333333333333,6.7054285714285715,9.333888888888886
2018,7.128,8.205,8.330952380952382,7.827200000000001,5.254615384615385,9.225,8.65,6.454166666666666,6.736285714285714,9.329444444444443
2019,7.17,8.12,8.347619047619048,7.7752,5.277692307692307,9.245000000000001,8.5625,6.411666666666666,6.718857142857145,9.312777777777777
