year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,7.684,9.153333333333334,9.066666666666668,6.5316,8.360000000000001,9.285,9.254999999999999,7.509166666666668,7.435428571428572,9.658333333333335
2009,8.006,9.13,9.062380952380954,6.5363999999999995,8.442307692307692,9.33,9.1175,7.585833333333333,7.395142857142857,9.696111111111113
2010,7.802000000000001,9.193333333333333,9.127142857142857,6.430400000000001,8.43,9.375,9.184999999999999,7.9725,7.394571428571429,9.681666666666668
2011,7.966000000000001,9.176666666666668,9.18,6.412800000000001,8.00153846153846,9.379999999999999,9.184999999999999,7.990833333333334,7.414285714285713,9.607777777777779
2012,8.25,9.301666666666668,9.13190476190476,6.4852,8.03076923076923,9.39,9.1825,7.886666666666667,7.350857142857141,9.73388888888889
2013,8.414,9.301666666666668,9.204285714285716,6.4472000000000005,8.076923076923077,9.41,9.192499999999999,7.919999999999999,7.363142857142857,9.723888888888887
2014,8.388,9.268333333333333,9.028095238095238,6.608400000000001,7.778461538461538,9.434999999999999,9.195,7.843333333333333,7.289142857142858,9.721111111111112
2015,8.55,9.223333333333333,9.03190476190476,6.672400000000001,7.646153846153847,9.39,9.209999999999999,8.040833333333333,7.1417142857142855,9.71833333333333
2016,8.464000000000002,9.295,9.120476190476191,6.7644,7.816923076923077,9.219999999999999,9.2075,8.231666666666666,7.076857142857141,9.655
2017,8.668000000000001,9.361666666666666,9.151904761904762,6.7212,7.989230769230771,9.115,9.184999999999999,8.07,7.152857142857143,9.657222222222224
2018,8.815999999999999,9.35,9.13857142857143,6.629599999999999,8.14076923076923,9.19,9.2,8.2375,7.14,9.71888888888889
2019,8.836,9.3,9.17095238095238,6.627199999999999,8.202307692307693,9.245000000000001,8.855,8.078333333333333,7.114,9.708333333333334
