,countries,region,pf_assembly_2008,pf_assembly_2019,diff_pf_assembly
95,Nicaragua,Latin America & the Caribbean,6.84,3.04,-3.8
56,"Hong Kong SAR, China",East Asia,8.13,4.88,-3.250000000000001
9,Bahrain,Middle East & North Africa,4.95,1.82,-3.13
59,India,South Asia,8.26,5.16,-3.0999999999999996
21,Burundi,Sub-Saharan Africa,5.2,2.19,-3.0100000000000002
130,Turkey,Middle East & North Africa,6.8,4.29,-2.51
137,"Venezuela, RB",Latin America & the Caribbean,6.11,3.83,-2.2800000000000002
57,Hungary,Eastern Europe,8.92,6.72,-2.2
139,Zambia,Sub-Saharan Africa,7.88,6.04,-1.8399999999999999
107,Poland,Eastern Europe,9.45,7.8,-1.6499999999999995
131,Uganda,Sub-Saharan Africa,5.88,4.25,-1.63
125,Tanzania,Sub-Saharan Africa,7.59,6.07,-1.5199999999999996
15,Bolivia,Latin America & the Caribbean,8.51,7.17,-1.3399999999999999
126,Thailand,South Asia,6.75,5.46,-1.29
113,Serbia,Eastern Europe,8.56,7.3,-1.2600000000000007
69,Kenya,Sub-Saharan Africa,7.84,6.59,-1.25
39,"Egypt, Arab Rep.",Middle East & North Africa,4.21,3.03,-1.1800000000000002
88,Morocco,Middle East & North Africa,6.37,5.33,-1.04
22,Cameroon,Sub-Saharan Africa,6.04,5.02,-1.0200000000000005
110,Russian Federation,Eastern Europe,5.17,4.2,-0.9699999999999998
45,France,Western Europe,9.63,8.69,-0.9400000000000013
18,Brazil,Latin America & the Caribbean,9.48,8.55,-0.9299999999999997
60,Indonesia,South Asia,8.26,7.38,-0.8799999999999999
82,Mauritania,Sub-Saharan Africa,6.86,6.05,-0.8100000000000005
106,Philippines,South Asia,8.26,7.49,-0.7699999999999996
26,Chile,Latin America & the Caribbean,9.51,8.75,-0.7599999999999998
80,Mali,Sub-Saharan Africa,8.58,7.83,-0.75
30,"Congo, Rep.",Sub-Saharan Africa,4.37,3.65,-0.7200000000000002
109,Romania,Eastern Europe,9.15,8.44,-0.7100000000000009
132,Ukraine,Eastern Europe,8.19,7.49,-0.6999999999999993
96,Niger,Sub-Saharan Africa,7.86,7.17,-0.6900000000000004
127,Togo,Sub-Saharan Africa,7.0,6.33,-0.6699999999999999
119,Spain,Western Europe,9.67,9.04,-0.6300000000000008
14,Benin,Sub-Saharan Africa,8.79,8.17,-0.6199999999999992
10,Bangladesh,South Asia,6.31,5.7,-0.6099999999999994
118,South Africa,Sub-Saharan Africa,9.59,8.99,-0.5999999999999996
17,Botswana,Sub-Saharan Africa,9.4,8.82,-0.5800000000000001
63,Israel,Middle East & North Africa,8.21,7.64,-0.5700000000000012
91,Namibia,Sub-Saharan Africa,9.35,8.79,-0.5600000000000005
112,Senegal,Sub-Saharan Africa,8.92,8.37,-0.5500000000000007
27,China,East Asia,2.21,1.67,-0.54
16,Bosnia and Herzegovina,Eastern Europe,8.92,8.38,-0.5399999999999991
123,Syrian Arab Republic,Middle East & North Africa,1.96,1.43,-0.53
61,"Iran, Islamic Rep.",Middle East & North Africa,2.71,2.26,-0.4500000000000002
68,Kazakhstan,Caucasus & Central Asia,4.51,4.06,-0.4500000000000002
140,Zimbabwe,Sub-Saharan Africa,5.12,4.67,-0.4500000000000002
