,countries,region,pf_expression_2008,pf_expression_2019,diff_pf_expression
130,Turkey,Middle East & North Africa,6.13,2.93,-3.1999999999999997
9,Bahrain,Middle East & North Africa,5.33,2.36,-2.97
57,Hungary,Eastern Europe,9.26,6.61,-2.6499999999999995
21,Burundi,Sub-Saharan Africa,5.05,2.55,-2.5
59,India,South Asia,8.21,5.89,-2.320000000000001
22,Cameroon,Sub-Saharan Africa,6.15,4.0,-2.1500000000000004
107,Poland,Eastern Europe,9.56,7.44,-2.12
39,"Egypt, Arab Rep.",Middle East & North Africa,5.11,3.01,-2.1000000000000005
123,Syrian Arab Republic,Middle East & North Africa,2.92,0.84,-2.08
55,Honduras,Latin America & the Caribbean,7.27,5.4,-1.8699999999999992
95,Nicaragua,Latin America & the Caribbean,5.63,3.83,-1.7999999999999998
137,"Venezuela, RB",Latin America & the Caribbean,5.95,4.2,-1.75
82,Mauritania,Sub-Saharan Africa,7.82,6.07,-1.75
81,Malta,Western Europe,8.57,6.83,-1.7400000000000002
101,Pakistan,South Asia,6.81,5.08,-1.7299999999999995
10,Bangladesh,South Asia,6.21,4.57,-1.6399999999999997
139,Zambia,Sub-Saharan Africa,7.49,5.91,-1.58
18,Brazil,Latin America & the Caribbean,8.74,7.22,-1.5200000000000005
133,United Arab Emirates,Middle East & North Africa,4.72,3.24,-1.4799999999999995
116,Slovak Republic,Eastern Europe,9.2,7.72,-1.4799999999999995
68,Kazakhstan,Caucasus & Central Asia,5.07,3.61,-1.4600000000000004
113,Serbia,Eastern Europe,7.44,6.0,-1.4400000000000004
30,"Congo, Rep.",Sub-Saharan Africa,5.32,4.01,-1.3100000000000005
40,El Salvador,Latin America & the Caribbean,7.88,6.65,-1.2299999999999995
27,China,East Asia,3.86,2.66,-1.1999999999999997
56,"Hong Kong SAR, China",East Asia,8.19,6.99,-1.1999999999999993
125,Tanzania,Sub-Saharan Africa,7.25,6.06,-1.1900000000000004
110,Russian Federation,Eastern Europe,5.5,4.35,-1.1500000000000004
138,Vietnam,South Asia,4.39,3.35,-1.0399999999999996
89,Mozambique,Sub-Saharan Africa,7.71,6.73,-0.9799999999999995
71,Kuwait,Middle East & North Africa,6.31,5.34,-0.9699999999999998
132,Ukraine,Eastern Europe,7.36,6.4,-0.96
102,Panama,Latin America & the Caribbean,8.49,7.56,-0.9300000000000006
24,Central African Republic,Sub-Saharan Africa,6.52,5.6,-0.9199999999999999
1,Algeria,Middle East & North Africa,6.02,5.11,-0.9099999999999993
51,Guatemala,Latin America & the Caribbean,7.07,6.17,-0.9000000000000004
131,Uganda,Sub-Saharan Africa,6.59,5.69,-0.8999999999999995
88,Morocco,Middle East & North Africa,6.06,5.16,-0.8999999999999995
80,Mali,Sub-Saharan Africa,8.27,7.38,-0.8899999999999997
25,Chad,Sub-Saharan Africa,5.98,5.11,-0.8700000000000001
0,Albania,Eastern Europe,7.77,6.91,-0.8599999999999994
35,Czech Republic,Eastern Europe,9.41,8.58,-0.8300000000000001
37,Dominican Republic,Latin America & the Caribbean,7.4,6.61,-0.79
84,Mexico,Latin America & the Caribbean,7.16,6.37,-0.79
14,Benin,Sub-Saharan Africa,8.1,7.32,-0.7799999999999994
19,Bulgaria,Eastern Europe,7.89,7.15,-0.7399999999999993
36,Denmark,Western Europe,9.87,9.23,-0.6399999999999988
106,Philippines,South Asia,6.7,6.08,-0.6200000000000001
8,"Bahamas, The",Latin America & the Caribbean,10.0,9.38,-0.6199999999999992
126,Thailand,South Asia,5.6,5.0,-0.5999999999999996
58,Iceland,Western Europe,9.38,8.81,-0.5700000000000003
50,Greece,Eastern Europe,8.97,8.41,-0.5600000000000005
17,Botswana,Sub-Saharan Africa,8.34,7.78,-0.5599999999999996
135,United States,North America,9.6,9.05,-0.5499999999999989
49,Ghana,Sub-Saharan Africa,8.58,8.04,-0.5400000000000009
15,Bolivia,Latin America & the Caribbean,7.59,7.05,-0.54
87,Montenegro,Eastern Europe,6.4,5.87,-0.5300000000000002
45,France,Western Europe,9.4,8.95,-0.45000000000000107
119,Spain,Western Europe,9.2,8.78,-0.41999999999999993
6,Austria,Western Europe,9.32,8.91,-0.41000000000000014
16,Bosnia and Herzegovina,Eastern Europe,7.37,6.97,-0.40000000000000036
5,Australia,Oceania,9.22,8.85,-0.370000000000001
26,Chile,Latin America & the Caribbean,9.27,8.9,-0.3699999999999992
69,Kenya,Sub-Saharan Africa,7.68,7.34,-0.33999999999999986
117,Slovenia,Eastern Europe,8.85,8.53,-0.3200000000000003
60,Indonesia,South Asia,7.94,7.62,-0.3200000000000003
48,Germany,Western Europe,9.73,9.43,-0.3000000000000007
104,Paraguay,Latin America & the Caribbean,7.28,6.98,-0.2999999999999998
109,Romania,Eastern Europe,8.37,8.07,-0.29999999999999893
103,Papua New Guinea,Oceania,8.03,7.73,-0.29999999999999893
118,South Africa,Sub-Saharan Africa,8.35,8.07,-0.27999999999999936
75,Lithuania,Eastern Europe,9.38,9.13,-0.25
29,"Congo, Dem. Rep.",Sub-Saharan Africa,5.47,5.26,-0.20999999999999996
61,"Iran, Islamic Rep.",Middle East & North Africa,3.3,3.11,-0.18999999999999995
115,Singapore,South Asia,4.8,4.61,-0.1899999999999995
83,Mauritius,Sub-Saharan Africa,8.57,8.39,-0.17999999999999972
41,Estonia,Eastern Europe,9.58,9.41,-0.16999999999999993
127,Togo,Sub-Saharan Africa,6.97,6.81,-0.16000000000000014
44,Finland,Western Europe,9.75,9.6,-0.15000000000000036
91,Namibia,Sub-Saharan Africa,8.26,8.13,-0.129999999999999
77,Madagascar,Sub-Saharan Africa,7.11,7.0,-0.11000000000000032
97,Nigeria,Sub-Saharan Africa,7.96,7.87,-0.08999999999999986
121,Sweden,Western Europe,9.62,9.54,-0.08000000000000007
62,Ireland,Western Europe,9.67,9.59,-0.08000000000000007
93,Netherlands,Western Europe,9.32,9.26,-0.0600000000000005
46,Gabon,Sub-Saharan Africa,6.82,6.78,-0.040000000000000036
12,Belgium,Western Europe,9.43,9.39,-0.03999999999999915
31,Costa Rica,Latin America & the Caribbean,9.43,9.4,-0.02999999999999936
52,Guinea-Bissau,Sub-Saharan Africa,6.86,6.84,-0.020000000000000462
86,Mongolia,East Asia,8.23,8.21,-0.019999999999999574
66,Japan,East Asia,8.59,8.58,-0.009999999999999787
122,Switzerland,Western Europe,9.8,9.8,0.0
13,Belize,Latin America & the Caribbean,8.75,8.75,0.0
76,Luxembourg,Western Europe,9.37,9.37,0.0
111,Rwanda,Sub-Saharan Africa,3.81,3.82,0.009999999999999787
108,Portugal,Western Europe,9.56,9.58,0.019999999999999574
28,Colombia,Latin America & the Caribbean,6.68,6.7,0.020000000000000462
99,Norway,Western Europe,9.63,9.66,0.02999999999999936
94,New Zealand,Oceania,9.45,9.5,0.05000000000000071
136,Uruguay,Latin America & the Caribbean,9.6,9.65,0.05000000000000071
64,Italy,Western Europe,8.62,8.7,0.08000000000000007
34,Cyprus,Eastern Europe,8.67,8.77,0.09999999999999964
32,Cote d'Ivoire,Sub-Saharan Africa,6.84,6.96,0.1200000000000001
3,Argentina,Latin America & the Caribbean,8.28,8.4,0.120000000000001
67,Jordan,Middle East & North Africa,5.52,5.66,0.14000000000000057
