,countries,region,pf_religion_2008,pf_religion_2019,diff_pf_religion
95,Nicaragua,Latin America & the Caribbean,9.13,5.76,-3.370000000000001
9,Bahrain,Middle East & North Africa,6.24,2.96,-3.2800000000000002
59,India,South Asia,8.29,5.73,-2.5599999999999987
106,Philippines,South Asia,9.83,7.44,-2.3899999999999997
130,Turkey,Middle East & North Africa,6.53,4.16,-2.37
21,Burundi,Sub-Saharan Africa,8.14,6.07,-2.0700000000000003
110,Russian Federation,Eastern Europe,7.14,5.08,-2.0599999999999996
132,Ukraine,Eastern Europe,9.12,7.24,-1.879999999999999
39,"Egypt, Arab Rep.",Middle East & North Africa,5.0,3.2,-1.7999999999999998
82,Mauritania,Sub-Saharan Africa,6.86,5.23,-1.63
22,Cameroon,Sub-Saharan Africa,9.26,7.64,-1.62
139,Zambia,Sub-Saharan Africa,9.36,7.78,-1.5799999999999992
57,Hungary,Eastern Europe,9.94,8.42,-1.5199999999999996
68,Kazakhstan,Caucasus & Central Asia,6.26,4.81,-1.4500000000000002
18,Brazil,Latin America & the Caribbean,9.93,8.51,-1.42
127,Togo,Sub-Saharan Africa,9.42,8.06,-1.3599999999999994
27,China,East Asia,3.0,1.71,-1.29
118,South Africa,Sub-Saharan Africa,9.71,8.56,-1.1500000000000004
60,Indonesia,South Asia,7.64,6.49,-1.1499999999999995
111,Rwanda,Sub-Saharan Africa,6.32,5.25,-1.0700000000000003
87,Montenegro,Eastern Europe,9.4,8.33,-1.0700000000000003
131,Uganda,Sub-Saharan Africa,7.65,6.58,-1.0700000000000003
15,Bolivia,Latin America & the Caribbean,9.37,8.31,-1.0599999999999987
88,Morocco,Middle East & North Africa,5.07,4.02,-1.0500000000000007
107,Poland,Eastern Europe,9.73,8.78,-0.9500000000000011
17,Botswana,Sub-Saharan Africa,9.72,8.8,-0.9199999999999999
6,Austria,Western Europe,9.64,8.73,-0.9100000000000001
114,Sierra Leone,Sub-Saharan Africa,9.82,8.99,-0.8300000000000001
45,France,Western Europe,9.71,8.89,-0.8200000000000003
123,Syrian Arab Republic,Middle East & North Africa,4.06,3.26,-0.7999999999999998
119,Spain,Western Europe,9.85,9.17,-0.6799999999999997
69,Kenya,Sub-Saharan Africa,8.48,7.82,-0.6600000000000001
12,Belgium,Western Europe,9.78,9.14,-0.6399999999999988
96,Niger,Sub-Saharan Africa,8.99,8.38,-0.6099999999999994
56,"Hong Kong SAR, China",East Asia,9.14,8.55,-0.5899999999999999
19,Bulgaria,Eastern Europe,8.94,8.36,-0.5800000000000001
116,Slovak Republic,Eastern Europe,9.11,8.54,-0.5700000000000003
54,Haiti,Latin America & the Caribbean,9.59,9.04,-0.5500000000000007
10,Bangladesh,South Asia,8.33,7.78,-0.5499999999999998
92,Nepal,South Asia,9.04,8.5,-0.5399999999999991
2,Angola,Sub-Saharan Africa,7.48,6.95,-0.5300000000000002
31,Costa Rica,Latin America & the Caribbean,9.7,9.18,-0.5199999999999996
83,Mauritius,Sub-Saharan Africa,9.49,8.97,-0.5199999999999996
104,Paraguay,Latin America & the Caribbean,9.5,8.99,-0.5099999999999998
102,Panama,Latin America & the Caribbean,9.69,9.19,-0.5
100,Oman,Middle East & North Africa,6.15,5.66,-0.4900000000000002
137,"Venezuela, RB",Latin America & the Caribbean,7.71,7.23,-0.47999999999999954
120,Sri Lanka,South Asia,8.05,7.58,-0.47000000000000064
28,Colombia,Latin America & the Caribbean,9.23,8.78,-0.45000000000000107
35,Czech Republic,Eastern Europe,9.91,9.47,-0.4399999999999995
135,United States,North America,9.83,9.43,-0.40000000000000036
29,"Congo, Dem. Rep.",Sub-Saharan Africa,6.84,6.47,-0.3700000000000001
36,Denmark,Western Europe,9.87,9.5,-0.3699999999999992
24,Central African Republic,Sub-Saharan Africa,8.69,8.33,-0.35999999999999943
25,Chad,Sub-Saharan Africa,8.22,7.87,-0.35000000000000053
50,Greece,Eastern Europe,8.52,8.18,-0.33999999999999986
125,Tanzania,Sub-Saharan Africa,8.39,8.05,-0.33999999999999986
101,Pakistan,South Asia,6.58,6.26,-0.3200000000000003
91,Namibia,Sub-Saharan Africa,9.86,9.55,-0.3099999999999987
99,Norway,Western Europe,9.91,9.61,-0.3000000000000007
97,Nigeria,Sub-Saharan Africa,8.05,7.78,-0.27000000000000046
67,Jordan,Middle East & North Africa,6.2,5.96,-0.2400000000000002
138,Vietnam,South Asia,4.94,4.71,-0.23000000000000043
16,Bosnia and Herzegovina,Eastern Europe,8.95,8.72,-0.22999999999999865
93,Netherlands,Western Europe,9.85,9.64,-0.20999999999999908
44,Finland,Western Europe,9.83,9.63,-0.1999999999999993
23,Canada,North America,9.77,9.58,-0.1899999999999995
40,El Salvador,Latin America & the Caribbean,9.52,9.33,-0.1899999999999995
47,Georgia,Caucasus & Central Asia,8.71,8.55,-0.16000000000000014
122,Switzerland,Western Europe,9.68,9.52,-0.16000000000000014
113,Serbia,Eastern Europe,9.04,8.88,-0.15999999999999837
126,Thailand,South Asia,8.65,8.5,-0.15000000000000036
134,United Kingdom,Western Europe,9.74,9.6,-0.14000000000000057
108,Portugal,Western Europe,9.92,9.78,-0.14000000000000057
62,Ireland,Western Europe,9.77,9.63,-0.1399999999999988
33,Croatia,Eastern Europe,9.74,9.62,-0.120000000000001
84,Mexico,Latin America & the Caribbean,8.65,8.53,-0.120000000000001
0,Albania,Eastern Europe,9.86,9.74,-0.11999999999999922
41,Estonia,Eastern Europe,9.79,9.67,-0.11999999999999922
61,"Iran, Islamic Rep.",Middle East & North Africa,3.99,3.88,-0.11000000000000032
37,Dominican Republic,Latin America & the Caribbean,9.73,9.63,-0.09999999999999964
117,Slovenia,Eastern Europe,9.61,9.53,-0.08000000000000007
58,Iceland,Western Europe,9.85,9.78,-0.07000000000000028
30,"Congo, Rep.",Sub-Saharan Africa,8.17,8.1,-0.07000000000000028
14,Benin,Sub-Saharan Africa,9.64,9.57,-0.07000000000000028
86,Mongolia,East Asia,8.96,8.89,-0.07000000000000028
140,Zimbabwe,Sub-Saharan Africa,7.2,7.15,-0.04999999999999982
49,Ghana,Sub-Saharan Africa,9.88,9.85,-0.030000000000001137
5,Australia,Oceania,9.88,9.85,-0.030000000000001137
121,Sweden,Western Europe,9.91,9.88,-0.02999999999999936
38,Ecuador,Latin America & the Caribbean,9.64,9.62,-0.02000000000000135
