Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.864,7.901666666666667,7.998095238095237,7.546799999999999,6.0807692307692305,8.875,8.11,6.459166666666666,6.523714285714286,8.731666666666666
6.773999999999999,7.925,7.994285714285714,7.520800000000001,6.063076923076924,8.809999999999999,8.085,6.4725,6.517714285714287,8.693333333333335
6.818,7.949999999999999,8.028571428571428,7.516399999999999,6.056923076923076,8.83,8.0825,6.555,6.532285714285712,8.70722222222222
6.82,7.953333333333333,8.023809523809526,7.5092,6.011538461538462,8.79,8.0525,6.609999999999999,6.539142857142856,8.729999999999999
6.886,7.94,8.002380952380953,7.474799999999998,5.933076923076923,8.805,8.0475,6.600833333333334,6.514571428571427,8.727222222222222
6.964,7.925000000000001,7.96761904761905,7.434000000000001,5.857692307692308,8.835,8.0,6.588333333333334,6.524285714285714,8.735
7.05,7.93,7.997142857142858,7.438399999999999,5.785384615384616,8.89,8.0275,6.5625,6.522571428571429,8.778333333333332
7.040000000000001,7.913333333333333,7.947619047619047,7.4256,5.733846153846153,8.89,8.0475,6.5925,6.503714285714284,8.753888888888888
7.083999999999999,7.928333333333334,7.966666666666667,7.433599999999999,5.729230769230769,8.870000000000001,8.0525,6.615833333333334,6.506,8.75388888888889
7.151999999999999,8.03,7.961904761904761,7.4716,5.688461538461538,8.84,8.094999999999999,6.5858333333333325,6.493428571428573,8.740555555555556
7.258,8.026666666666666,7.962380952380952,7.472399999999999,5.741538461538462,8.79,8.135,6.616666666666666,6.534000000000002,8.731666666666667
7.302,7.963333333333334,7.981428571428572,7.435599999999998,5.7469230769230775,8.79,8.095,6.593333333333334,6.545142857142856,8.726111111111111
