East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
7.33,6.446875,6.8267999999999995,6.275384615384615,8.495,7.3225,6.219090909090909,5.741724137931034,7.971666666666668
7.314,6.62375,6.7784,6.336153846153847,8.345,7.26,6.16,5.7893103448275856,7.863333333333333
7.398000000000001,6.87,6.8024000000000004,6.339230769230769,8.41,7.305,6.237272727272727,5.795862068965517,7.892222222222222
7.468000000000001,6.951875,6.757999999999999,6.398461538461539,8.415,7.2975,6.283636363636364,5.854137931034483,7.9061111111111115
7.478,7.0975,6.8187999999999995,6.375384615384615,8.485,7.365,6.239090909090908,5.763103448275862,7.958333333333333
7.564,7.163125,6.9516,6.496923076923077,8.39,7.5325,6.402727272727272,5.888275862068965,7.890555555555555
7.608,7.191875,6.9792,6.553076923076923,8.39,7.4825,6.44,5.993448275862069,7.8549999999999995
7.626,7.285625,6.9676,6.634615384615385,8.370000000000001,7.535,6.4,6.027586206896552,7.887777777777777
7.57,7.26,6.929600000000001,6.564615384615385,8.265,7.557499999999999,6.341818181818183,6.0231034482758625,7.774444444444445
7.56,7.239375,6.9155999999999995,6.5138461538461545,8.120000000000001,7.547499999999999,6.388181818181818,6.0906896551724135,7.69888888888889
7.624,7.301875,6.8952,6.5515384615384615,8.11,7.545,6.504545454545454,6.134137931034483,7.749444444444445
7.601999999999999,7.355,6.9144000000000005,6.5407692307692304,8.05,7.602500000000001,6.537272727272727,6.118620689655172,7.8066666666666675
7.6259999999999994,7.3825,6.8748000000000005,6.446923076923077,8.14,7.6175,6.63909090909091,6.130344827586207,7.7988888888888885
7.63,7.355,6.8420000000000005,6.429230769230769,8.155000000000001,7.3549999999999995,6.755454545454546,6.130000000000001,7.805000000000001
7.686,7.486875,6.8628,6.4423076923076925,8.265,7.402500000000001,6.761818181818182,6.183103448275862,7.907777777777778
7.718000000000001,7.445625,6.896,6.372307692307692,8.265,7.33,6.820909090909091,6.188965517241379,7.893333333333334
7.7620000000000005,7.50875,6.8932,6.393076923076923,8.305,7.3225,6.852727272727273,6.270689655172413,7.913333333333333
7.786,7.516875,6.869199999999999,6.321538461538462,8.3,7.35,6.829999999999999,6.2203448275862065,7.916111111111111
7.812,7.5425,6.9152,6.397692307692308,8.195,7.2275,6.885454545454545,6.2506896551724145,7.90388888888889
7.7780000000000005,7.5625,6.8988,6.380769230769231,8.15,7.275,6.877272727272728,6.266551724137931,7.911666666666666
7.556,7.315625,6.719600000000001,6.335384615384616,7.89,7.2524999999999995,6.783636363636364,6.172068965517242,7.662222222222222
