East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
7.851999999999999,7.633125,7.4796000000000005,5.84923076923077,8.95,8.1225,6.359090909090909,6.273448275862069,8.809999999999999
7.851999999999999,7.71125,7.4716,5.890769230769231,8.785,8.127500000000001,6.303636363636364,6.307931034482759,8.767777777777777
7.872,7.823125,7.452000000000001,5.911538461538461,8.870000000000001,8.1675,6.388181818181818,6.314137931034483,8.785
7.904000000000001,7.869375,7.4403999999999995,5.911538461538461,8.905000000000001,8.165000000000001,6.409090909090909,6.382413793103448,8.792222222222222
7.906000000000001,7.95,7.4768,5.924615384615384,8.915,8.2275,6.369090909090909,6.372413793103449,8.805
7.954000000000001,7.981875,7.5192,5.981538461538462,8.9,8.275,6.397272727272727,6.42,8.782777777777778
7.980000000000001,8.03,7.530399999999999,5.983846153846153,8.895,8.1875,6.397272727272727,6.472758620689655,8.765
7.974000000000001,8.08,7.530399999999999,6.006923076923077,8.905000000000001,8.1425,6.382727272727274,6.491034482758621,8.778888888888888
7.918000000000001,8.066875,7.4967999999999995,5.97,8.875,8.1075,6.370909090909091,6.481724137931034,8.731666666666666
7.922,8.0525,7.4664,5.9484615384615385,8.82,8.08,6.371818181818182,6.441034482758621,8.694444444444445
7.948,8.065,7.4676,5.936153846153847,8.825,8.0875,6.469090909090909,6.491034482758621,8.705
7.948,8.07875,7.476,5.856923076923077,8.795,8.1175,6.533636363636364,6.519655172413793,8.739444444444445
7.936,8.05625,7.4452,5.7930769230769235,8.809999999999999,8.1175,6.528181818181818,6.474137931034483,8.734444444444444
7.918000000000001,8.044375,7.380800000000001,5.72,8.844999999999999,8.0275,6.523636363636364,6.464827586206896,8.740555555555554
7.914,8.0725,7.3792,5.6523076923076925,8.925,8.08,6.491818181818181,6.480689655172414,8.781666666666666
7.898000000000001,8.038124999999999,7.3672,5.592307692307693,8.915,8.095,6.5218181818181815,6.430689655172414,8.762222222222222
7.897999999999999,8.081875,7.3636,5.568461538461539,8.895,8.0975,6.54,6.483793103448276,8.769444444444444
7.978,8.05125,7.3988,5.513846153846154,8.865,8.155000000000001,6.508181818181819,6.445862068965518,8.748888888888889
7.965999999999999,8.040625,7.403200000000001,5.564615384615385,8.825,8.14,6.547272727272727,6.46,8.737222222222222
7.902000000000001,8.035,7.3664,5.5600000000000005,8.8,8.0975,6.5181818181818185,6.433448275862069,8.733333333333333
7.634,7.75375,7.061599999999999,5.484615384615385,8.350000000000001,7.88,6.376363636363636,6.300689655172413,8.407222222222222
