East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe,world
7.900775302,8.345873702,7.746764876,4.582810197,9.710996176,8.655016594,5.891424564,6.061912208,9.502283227,7.599761872
7.866756619,8.27358869,7.731193193,4.646686198,9.68635266,8.655016594,5.832295854,6.133503412,9.557839468,7.598136965
7.734378587,8.316520303,7.672302925,4.573716844,9.621376131,8.866859894,5.823230095,6.147868712,9.605121741,7.595708359
7.725336068,8.277688644,7.629927873,4.539848752,9.745961086,8.831947149,5.795313609,6.274840721,9.543179717,7.596004847
7.705109738,8.24288579,7.568312103,4.677584297,9.740740912,8.813284868,5.723797009,6.329652059,9.536921769,7.593143172
7.637622163,8.288033166,7.538020796,4.728352268,9.712028142,8.833387208,5.668523772,6.328787282,9.54719307,7.586883096
7.626635017,8.446455445,7.672501112,4.724872165,9.73180019,8.450603837,5.534047863,6.236734983,9.451081197,7.541636868
7.436706108,8.346514907,7.660840322,4.674723399,9.701930677,8.356761842,5.368646991,6.252419079,9.454150314,7.472521515
7.351681032,8.198153946,7.467784959,4.687136189,9.693378027,8.096554067,5.314043314,6.240216964,9.479421662,7.392041129
7.485593846,8.168021744,7.405737412,4.643568122,9.701056534,8.002255091,5.279226922,6.014930055,9.477443629,7.353092595
7.45931359,8.079579509,7.431114938,4.379470107,9.734633508,7.983702851,5.241174289,6.144999505,9.466810893,7.324533243
7.530156245,7.927162559,7.297066783,4.340077101,9.729816299,7.950731555,5.361384709,6.253922576,9.480679331,7.318999684
7.522931217,7.882135178,7.273116285,4.221141805,9.71291978,7.96201027,5.48698873,6.114232049,9.483472655,7.295438663
7.344081294,7.839372821,7.329230123,4.035429574,9.749071716,7.88576886,5.638144917,6.120109583,9.476125279,7.268592685
7.226023002,7.840190856,7.361872218,3.912861336,9.742797911,8.148208004,5.490096889,6.170581548,9.469942649,7.262508268
7.197765147,7.831872036,7.315236768,3.689332293,9.752878916,8.20940699,5.454441143,6.003246562,9.424604194,7.208753783
7.055462992,7.783872924,7.330196687,3.585183243,9.717153214,8.489617361,5.26466037,6.050097021,9.4767382,7.194775779
7.107603398,7.617036996,7.448710665,3.537582603,9.687569881,8.233682639,5.435863588,5.969781452,9.260028524,7.144206638
6.996001498,7.404640212,7.441515203,3.59115174,9.661476388,8.441951389,5.341586834,5.979065086,9.223524002,7.120101372
6.964502035,7.33721575,7.367526151,3.519078172,9.666663888,8.283665972,5.443880872,5.750069251,9.205523266,7.059791706
6.873325056,7.31182639,7.33469408,3.505208731,9.345865548,8.329293056,5.346214016,5.690796331,9.226541328,6.995973837
