East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe,world
8.224,8.481875,7.9588,5.543076923,9.27,8.695,6.455454545,6.654137931,9.409444444,7.854643205
8.24,8.486875,7.9804,5.572307692,9.1,8.755,6.406363636,6.677931034,9.415555556,7.848270324
8.212,8.50625,7.9268,5.606153846,9.195,8.7875,6.496363636,6.685172414,9.42,7.870582211
8.214,8.5275,7.9416,5.564615385,9.255,8.785,6.501818182,6.75862069,9.424444444,7.8858443
8.212,8.56,7.9572,5.600769231,9.22,8.8425,6.463636364,6.80862069,9.411111111,7.897315266
8.234,8.56875,7.9372,5.614615385,9.27,8.81,6.392727273,6.8,9.420555556,7.894205357
8.246,8.6275,7.9296,5.58,9.26,8.695,6.368181818,6.812758621,9.416111111,7.881683506
8.222,8.645,7.9388,5.557692308,9.28,8.5825,6.367272727,6.823103448,9.416666667,7.870337239
8.164,8.6425,7.9064,5.544615385,9.31,8.4975,6.395454545,6.807586207,9.414444444,7.853611176
8.18,8.63125,7.8692,5.544615385,9.32,8.46,6.359090909,6.690689655,9.407777778,7.829180414
8.184,8.609375,7.8868,5.494615385,9.335,8.4775,6.439090909,6.744482759,9.387777778,7.839849092
8.194,8.59375,7.8868,5.369230769,9.325,8.485,6.531818182,6.807586207,9.404444444,7.844181067
8.156,8.5375,7.8628,5.327692308,9.29,8.4775,6.452727273,6.722068966,9.401111111,7.803044406
8.122,8.534375,7.7696,5.214615385,9.34,8.51,6.359090909,6.703448276,9.408333333,7.773495878
8.074,8.490625,7.7472,5.09,9.395,8.565,6.297272727,6.691724138,9.406666667,7.750832059
8.024,8.463125,7.7032,5.031538462,9.38,8.6375,6.306363636,6.602068966,9.385,7.725866229
7.996,8.490625,7.7,4.980769231,9.315,8.655,6.316363636,6.635517241,9.380555556,7.718870074
8.116,8.43125,7.78,4.938461538,9.265,8.735,6.280909091,6.605862069,9.343333333,7.721757337
8.078,8.394375,7.7532,4.97,9.28,8.79,6.305454545,6.60862069,9.332777778,7.723603113
7.992,8.3725,7.6992,4.977692308,9.27,8.6875,6.260909091,6.552413793,9.320555556,7.681418972
7.69,8.0675,7.3068,4.873846154,8.685,8.325,6.083636364,6.391724138,8.939444444,7.373661233
