Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
6.170000000000001,7.8,7.407619047619048,7.4172,5.471176470588236,8.985,8.1,6.0725,5.896428571428571,8.838888888888889
6.328333333333333,7.815,7.4523809523809526,7.4116,5.515882352941176,8.84,8.1075,6.04625,5.934047619047619,8.796111111111111
6.348333333333334,7.863333333333333,7.562380952380953,7.388,5.551764705882353,8.885,8.15,6.15125,5.952619047619048,8.802777777777777
6.345,7.885000000000001,7.578571428571429,7.362,5.5329411764705885,8.93,8.1375,6.1225000000000005,6.046190476190477,8.810555555555556
6.433333333333334,7.873333333333334,7.671904761904763,7.401599999999999,5.59,8.925,8.2,6.1325,6.095238095238095,8.823333333333332
6.435,7.896666666666666,7.704761904761905,7.426,5.60235294117647,8.925,8.2525,6.134375,6.1242857142857146,8.803888888888888
6.44,7.936666666666667,7.746666666666667,7.4308000000000005,5.7047058823529415,8.92,8.135,6.188125,6.164285714285714,8.783333333333333
6.363333333333333,7.9316666666666675,7.788095238095239,7.426,5.7299999999999995,8.915,8.095,6.1875,6.2004761904761905,8.794444444444444
6.27,7.859999999999999,7.753809523809524,7.372000000000001,5.653529411764706,8.879999999999999,8.0425,6.12875,6.161428571428572,8.747222222222222
6.2250000000000005,7.91,7.776190476190477,7.367999999999999,5.645294117647059,8.82,8.02,6.21375,6.147857142857142,8.717777777777776
6.371666666666667,7.94,7.822380952380953,7.3708,5.8,8.84,8.004999999999999,6.31,6.23,8.726111111111111
6.371666666666667,7.945,7.805714285714285,7.3660000000000005,5.725294117647059,8.83,8.02,6.353125,6.2402380952380945,8.755555555555555
6.461666666666666,7.9316666666666675,7.800000000000001,7.3504,5.674705882352941,8.825,8.0425,6.341875,6.216904761904762,8.76
6.498333333333334,7.925,7.802380952380952,7.3176,5.615294117647059,8.865,8.0325,6.348125,6.258333333333334,8.773333333333333
6.586666666666666,7.905,7.808571428571428,7.3,5.5329411764705885,8.925,8.0725,6.3575,6.253333333333333,8.807777777777778
6.57,7.8999999999999995,7.78952380952381,7.3,5.4276470588235295,8.925,8.095,6.375625,6.248809523809523,8.797222222222222
6.628333333333333,7.885000000000001,7.845714285714287,7.3088,5.4405882352941175,8.9,8.105,6.38625,6.272380952380952,8.806111111111111
6.683333333333334,7.9799999999999995,7.843809523809524,7.352799999999999,5.415294117647059,8.865,8.1575,6.41,6.2821428571428575,8.77111111111111
6.773333333333333,7.97,7.823809523809524,7.3552,5.421176470588235,8.85,8.172500000000001,6.445,6.297857142857143,8.760555555555555
6.82,7.908333333333334,7.851904761904761,7.308,5.438235294117647,8.83,8.1,6.4487499999999995,6.3342857142857145,8.76
6.645,7.641666666666667,7.5947619047619055,7.0224,5.287058823529412,8.405000000000001,7.8475,6.29875,6.163571428571428,8.445555555555556
6.601666666666667,7.563333333333333,7.598571428571428,6.976,5.254705882352941,8.43,7.827500000000001,6.195,6.129761904761905,8.457777777777778
6.580000000000001,7.640000000000001,7.616666666666666,7.164,5.281764705882353,8.690000000000001,8.06,6.24125,6.197380952380953,8.665
