Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
5.96,7.655,8.4,8.5372,4.039411764705882,9.665,8.665000000000001,5.89375,6.638571428571429,9.476111111111111
5.846666666666667,7.661666666666666,8.326666666666668,8.532,4.075294117647059,9.535,8.66,5.819375,6.661666666666667,9.472222222222221
5.82,7.6816666666666675,8.346666666666668,8.494399999999999,4.1641176470588235,9.425,8.64,5.81125,6.66047619047619,9.477777777777778
5.79,7.6816666666666675,8.355238095238096,8.5704,4.180588235294118,9.425,8.64,5.86125,6.698809523809524,9.47111111111111
5.676666666666667,7.6816666666666675,8.395714285714286,8.6176,4.171176470588235,9.425,8.64,5.799375,6.7490476190476185,9.481111111111112
5.701666666666667,7.623333333333334,8.413809523809524,8.6244,4.118235294117647,9.425,8.64,5.726875,6.855238095238096,9.507222222222222
5.771666666666667,7.626666666666666,8.373333333333333,8.5932,4.17,9.415,8.35,5.66,6.865952380952381,9.52888888888889
5.593333333333334,7.673333333333333,8.384285714285713,8.5548,4.214705882352941,9.415,8.147499999999999,5.6525,6.851666666666667,9.52111111111111
5.515000000000001,7.588333333333334,8.381904761904762,8.5424,4.22,9.415,8.0225,5.793125,6.84904761904762,9.518333333333334
5.385000000000001,7.6450000000000005,8.388571428571428,8.4984,4.151176470588235,9.415,8.0275,5.891875,6.777142857142857,9.527777777777779
5.543333333333333,7.66,8.436666666666666,8.5064,4.138823529411765,9.415,8.1,5.9731250000000005,6.8097619047619045,9.532222222222224
5.621666666666667,7.66,8.363809523809524,8.5096,4.418235294117647,9.415,8.2025,6.1375,6.8254761904761905,9.524999999999999
5.558333333333334,7.656666666666666,8.317142857142857,8.464400000000001,4.418823529411765,9.415,8.235,6.12375,6.819761904761905,9.527777777777779
5.548333333333333,7.541666666666667,8.256666666666666,8.363199999999999,4.318235294117647,9.445,8.3325,6.130625,6.7457142857142856,9.504444444444445
5.351666666666667,7.383333333333333,8.278571428571428,8.3312,4.2305882352941175,9.445,8.635,5.875,6.695952380952382,9.505555555555555
5.2299999999999995,7.251666666666668,8.237619047619049,8.244,4.0,9.475000000000001,8.73,5.78875,6.659285714285714,9.46
5.131666666666667,7.285,8.216666666666667,8.2204,3.926470588235294,9.335,8.6125,5.82625,6.6380952380952385,9.460555555555555
5.298333333333333,7.401666666666666,8.192857142857143,8.292,3.834705882352941,9.370000000000001,8.684999999999999,5.754375,6.6414285714285715,9.433333333333334
5.39,7.425,8.152857142857144,8.3252,3.7994117647058827,9.525,8.879999999999999,5.7425,6.664761904761905,9.398333333333333
5.591666666666666,7.111666666666667,8.268095238095238,8.2208,3.771764705882353,9.64,8.7325,5.809375,6.649285714285714,9.387777777777778
5.585,7.010000000000001,8.180952380952382,8.1652,3.697058823529412,9.309999999999999,8.795,5.5275,6.62547619047619,9.38888888888889
5.635000000000001,6.783333333333334,8.073333333333332,8.068,3.6964705882352944,9.515,8.7925,5.33125,6.535238095238095,9.33222222222222
5.463333333333334,6.668333333333334,7.983333333333333,8.0332,3.618235294117647,9.515,8.8225,5.36625,6.534761904761904,9.315555555555555
