Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
5.041666666666667,7.875,7.886666666666667,7.6964,4.733529411764706,9.61,8.655000000000001,5.380625,5.864047619047619,9.423333333333334
5.135,7.903333333333333,7.783333333333333,7.6764,4.722352941176471,9.684999999999999,8.6525,5.54125,5.88952380952381,9.477777777777778
5.078333333333333,7.743333333333333,7.716190476190476,7.6088,4.654705882352941,9.59,8.865,5.543125,5.92047619047619,9.526111111111112
5.055000000000001,7.728333333333333,7.694761904761905,7.561599999999999,4.662941176470588,9.715,8.83,5.5175,6.060238095238096,9.463333333333333
4.93,7.711666666666666,7.6223809523809525,7.494800000000001,4.816470588235294,9.71,8.807500000000001,5.54125,6.073333333333333,9.45722222222222
4.878333333333333,7.656666666666666,7.645238095238095,7.4664,4.78764705882353,9.685,8.8275,5.4868749999999995,6.0876190476190475,9.475555555555555
4.7299999999999995,7.633333333333333,7.75047619047619,7.6004,4.802352941176471,9.71,8.4125,5.41125,5.9714285714285715,9.386666666666667
4.715,7.478333333333333,7.7319047619047625,7.6108,4.699411764705882,9.645,8.36,5.266875,6.028333333333333,9.390555555555556
4.503333333333333,7.296666666666667,7.570952380952382,7.4172,4.776470588235294,9.68,8.0875,5.134375,6.026428571428572,9.422777777777776
4.1049999999999995,7.46,7.602380952380953,7.401599999999999,4.694705882352942,9.49,8.0275,5.164375,5.871904761904762,9.434444444444445
4.14,7.456666666666667,7.570952380952382,7.4364,4.39764705882353,9.725000000000001,8.004999999999999,5.104375,5.989761904761904,9.477777777777778
4.218333333333334,7.528333333333333,7.402380952380952,7.2988,4.377058823529412,9.72,7.970000000000001,5.2524999999999995,6.050714285714285,9.493333333333332
4.335,7.526666666666666,7.331904761904762,7.2752,4.262941176470588,9.705,7.9875,5.24875,5.962380952380952,9.495
4.738333333333333,7.37,7.240476190476191,7.33,4.0582352941176465,9.745000000000001,7.915,5.355625,5.944047619047619,9.485555555555557
4.78,7.2700000000000005,7.222380952380952,7.3608,3.942941176470588,9.74,8.1775,5.17125,5.921904761904762,9.479999999999999
4.836666666666667,7.246666666666666,7.248095238095239,7.316,3.662352941176471,9.735,8.23,5.136875,5.8011904761904765,9.434444444444445
4.796666666666667,7.121666666666666,7.205238095238095,7.3284,3.581764705882353,9.7,8.512500000000001,5.0600000000000005,5.7716666666666665,9.488888888888889
4.618333333333333,7.213333333333334,7.1152380952380945,7.4472000000000005,3.599411764705882,9.675,8.2575,5.185625,5.825,9.27
4.641666666666667,7.121666666666667,6.937142857142858,7.4396,3.5494117647058823,9.665,8.48,5.1275,5.882619047619047,9.233333333333333
4.735,7.1049999999999995,6.992857142857143,7.364400000000001,3.4417647058823526,9.675,8.2975,5.211875,5.823095238095238,9.215
4.723333333333334,7.011666666666667,6.872857142857144,7.3348,3.44,9.355,8.3325,5.108125,5.7719047619047625,9.229444444444445
4.495,6.6816666666666675,6.893809523809523,7.2912,3.3499999999999996,9.375,8.28,4.91125,5.707857142857143,9.204444444444444
4.298333333333333,6.653333333333333,6.862380952380952,7.176799999999999,3.2923529411764707,9.365,8.3225,4.92625,5.7404761904761905,9.291111111111112
