Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
7.54,8.15,8.665714285714285,9.1012,6.36,9.91,9.3375,6.9925,7.549761904761906,9.888333333333334
7.538333333333334,8.15,8.576666666666668,9.1936,6.458235294117648,9.895,9.3375,6.885,7.533095238095238,9.888333333333334
7.8183333333333325,8.15,8.613333333333333,9.3272,6.478823529411764,9.895,9.3375,7.286875,7.432619047619048,9.895555555555555
7.776666666666666,8.15,8.863333333333333,9.3316,6.278235294117647,9.895,9.3375,7.075625,7.608095238095238,9.895555555555555
7.781666666666666,8.15,8.976666666666667,9.3908,6.380588235294118,9.895,9.754999999999999,7.083125,7.678333333333334,9.895555555555555
7.781666666666666,8.393333333333333,8.821904761904761,9.3156,6.518235294117647,9.895,9.754999999999999,6.89875,7.766904761904762,9.895555555555555
7.503333333333333,8.671666666666667,8.913333333333334,9.3864,6.522941176470589,9.895,9.285,7.3325,7.852857142857142,9.89611111111111
7.498333333333334,8.671666666666667,8.993809523809524,9.3988,6.344117647058823,9.895,9.2825,7.1625,7.771666666666667,9.89611111111111
7.468333333333334,8.671666666666667,9.002857142857144,9.3304,6.342941176470588,9.895,9.2825,7.181875,7.842380952380952,9.89611111111111
6.635000000000001,8.674999999999999,9.081904761904761,9.1888,6.244705882352941,9.895,9.2825,6.98375,7.673333333333333,9.89611111111111
7.233333333333333,8.674999999999999,9.082380952380952,9.4016,6.238235294117647,9.895,9.2825,7.059375,7.755238095238096,9.89611111111111
7.233333333333333,8.674999999999999,9.085714285714285,9.340399999999999,6.346470588235294,9.879999999999999,9.2825,7.174375,7.794047619047619,9.89611111111111
7.233333333333333,8.663333333333334,9.081428571428571,9.342,6.33,9.879999999999999,9.28,7.09,7.715238095238096,9.894444444444444
7.211666666666666,8.655,9.175238095238095,9.402000000000001,6.239411764705882,9.875,9.29,7.055,7.7507142857142854,9.89
7.18,8.613333333333333,9.163333333333334,9.4032,5.989411764705882,9.875,9.2925,7.023125,7.712380952380952,9.885555555555555
7.43,8.618333333333334,9.155238095238095,9.3268,5.975882352941177,9.875,9.2975,7.03,7.661904761904762,9.884444444444444
7.875,8.62,9.228095238095237,9.058,5.775294117647059,9.875,9.254999999999999,7.02375,7.802380952380952,9.883888888888889
7.915,8.610000000000001,9.222857142857142,9.1016,5.764705882352941,9.785,9.735,6.999375,7.724285714285715,9.881111111111112
7.851666666666667,8.598333333333334,9.140476190476189,9.0216,5.724705882352942,9.785,9.735,6.87875,7.723809523809523,9.875
7.816666666666666,8.565,9.127142857142857,8.9832,5.778823529411764,9.76,9.74,6.880625,7.805,9.865
6.705000000000001,6.676666666666667,7.355238095238096,6.3488,4.966470588235294,6.445,7.1225,6.16375,6.4869047619047615,7.368333333333333
6.753333333333333,6.566666666666666,7.421428571428571,6.3668,4.920588235294118,6.46,6.945,5.94125,6.428333333333334,7.368888888888888
7.316666666666666,7.919999999999999,8.975238095238096,8.7492,5.498235294117647,9.69,9.5825,6.422499999999999,7.42,9.791111111111112
