Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
7.63,9.035,8.557142857142857,7.0224,8.34764705882353,9.31,8.8125,7.66625,6.832857142857144,9.631111111111112
8.008333333333333,9.105,8.567142857142857,7.0112,8.384117647058824,8.41,9.254999999999999,7.829375,6.977380952380953,9.59
8.113333333333333,9.056666666666667,8.705714285714285,6.7516,8.411764705882353,9.21,9.2775,7.969375,7.010000000000001,9.622777777777777
8.1,9.076666666666666,8.762380952380951,6.7188,8.342941176470589,9.175,9.2875,7.904375,7.25,9.66777777777778
8.091666666666667,9.115,8.84,6.6952,8.452352941176471,8.985,9.2975,7.884375,7.444285714285715,9.582777777777778
7.963333333333334,9.008333333333333,8.91047619047619,6.6788,8.294117647058824,9.215,9.274999999999999,7.76,7.427380952380952,9.616666666666667
8.098333333333334,9.148333333333333,9.003809523809522,6.6575999999999995,8.420000000000002,9.2,9.2475,7.725,7.433571428571428,9.681666666666667
8.111666666666666,9.206666666666665,9.072380952380952,6.7544,8.438235294117646,9.225,9.29,7.73125,7.5130952380952385,9.654444444444444
7.833333333333333,9.19,9.046190476190477,6.5336,8.26705882352941,9.285,9.27,7.68875,7.421904761904761,9.666666666666666
8.048333333333334,9.146666666666667,9.01,6.5367999999999995,8.387058823529413,9.329999999999998,9.129999999999999,7.826875,7.401190476190477,9.702777777777778
7.711666666666667,9.208333333333334,9.09047619047619,6.4308000000000005,8.331764705882351,9.385,9.1975,8.140625,7.432380952380953,9.693333333333333
7.973333333333334,9.195,9.102380952380953,6.414,7.82235294117647,9.385000000000002,9.1975,8.1325,7.406904761904761,9.617222222222223
8.209999999999999,9.318333333333333,9.11047619047619,6.484400000000001,7.93,9.395,9.195,8.018125,7.41952380952381,9.742777777777778
8.176666666666668,9.326666666666666,9.166666666666666,6.4548000000000005,7.945882352941177,9.41,9.2025,8.0925,7.377142857142856,9.732222222222223
8.334999999999999,9.283333333333333,9.001428571428571,6.61,7.574117647058823,9.44,9.205,8.011875,7.302380952380952,9.731111111111112
8.361666666666666,9.245,8.99952380952381,6.6748,7.455882352941177,9.395,9.2175,8.18875,7.238333333333333,9.727222222222222
8.378333333333334,9.316666666666666,9.09095238095238,6.7648,7.66235294117647,9.225,9.22,8.240625,7.16547619047619,9.662777777777778
8.528333333333334,9.376666666666667,9.142380952380952,6.704400000000001,7.7958823529411765,9.120000000000001,9.202499999999999,8.190625,7.310476190476191,9.677222222222222
8.535,9.316666666666666,9.150952380952381,6.5592,7.9541176470588235,9.204999999999998,9.185,8.388125,7.233333333333333,9.731111111111112
8.576666666666666,9.265,9.206666666666667,6.5920000000000005,8.031176470588235,9.245000000000001,8.805,8.2825,7.339285714285714,9.731111111111112
8.565,9.278333333333334,9.162857142857144,6.843999999999999,8.068823529411766,9.125,9.145,8.33,7.2352380952380955,9.744444444444445
8.351666666666667,9.293333333333333,9.168571428571429,6.7096,8.048235294117646,9.129999999999999,9.15,8.03375,7.174285714285714,9.763333333333334
8.311666666666666,9.299999999999999,9.185714285714287,6.5952,8.051764705882352,9.145,9.1475,8.28125,7.185476190476191,9.743333333333332
