year,iso,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance_widows,pf_identity_inheritance_daughters,pf_identity_inheritance,pf_identity_fgm,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_income_data,ef_government_tax_payroll,ef_government_tax_payroll_data,ef_government_tax,ef_government_soa,ef_government,ef_government_rank,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_contracts,ef_legal_realprop,ef_legal_police,ef_gender,ef_legal-nogender,ef_legal-gender,ef_legal_rank,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_money_rank,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_costs,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement_assets,ef_trade_movement,ef_trade,ef_trade_rank,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_flexible,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor_foreign,ef_regulation_labor,ef_regulation_business_burden,ef_regulation_business_costs,ef_regulation_business_impartial,ef_regulation_business_compliance,ef_regulation_business,ef_regulation_enter_openness,ef_regulation_enter_permits,ef_regulation_enter_distortion,ef_regulation_enter,ef_regulation,ef_regulation_rank,ef_score,ef_rank
2022,ALB,Albania,Eastern Europe,7.92,41.0,2.0,,,,7.18,4.81,9.52,1.65,10.0,10.0,0,7.5,10.0,0,10.0,0,7.04,9.84,9.2,9.36,9.81,9.87,9.79,9.82,10.0,9.91,9.52,10.0,9.76,9.84,9.8,8.15,7.5,10.0,10.0,9.17,9.65,9.61,7.62,8.96,8.59,8.71,10.0,0,10.0,0,10.0,6.75,5.0,3.77,8.56,6.37,6.09,5.0,6.67,3.33,6.22,10.0,10.0,10.0,7.5,,,7.5,10.0,8.75,8.22,52.0,8.282352941,11.84,7.133514986,11.02,7.545714286,23.59,9.0,23,7.0,34,8.0,8.0775,7.807816443,24.0,4.613733575,4.677396237,4.420575103,8.333333333,5.75475,3.6469507,6.715384476,5.303920905,1.0,5.433255541,5.433255541,66.0,9.48494928,2.575253601,8.2306425,4.423393749,7.308,6.73,10.0,8.755897945,28,9.646799117,0.529801325,9.28,3.6,8.0848,4.788,9.003866372,8.403653304,9.405327776,8.90449054,10.0,4.024748108,4.615384615,9.27,6.903052926,6.203296412,8.527913331,34.0,10.0,7.589624922,9.0,8.863208307,6.533333333,5.649870456,5.575783253,8.0,6.299740913,10.0,7.764570316,7.117614039,5.651538372,6.222222222,6.0575,3.587624865,5.379721365,6.810619344,5.621939551,6.25,6.227519632,6.897015836,55,7.48,38.0
2022,DZA,Algeria,Middle East & North Africa,4.7,157.0,4.0,,,,5.07,4.78,9.49,1.77,10.0,10.0,0,5.0,9.73,7,9.88,6,5.04,6.14,7.97,8.73,6.23,8.62,7.62,7.49,3.33,5.41,4.08,6.67,5.37,4.37,4.87,2.1,2.5,4.44,3.33,3.43,6.33,7.73,5.9,6.65,2.78,3.74,10.0,0,4.95,9,7.47,4.59,4.29,1.92,4.1,5.27,4.03,2.5,3.33,3.33,4.13,0.0,0.0,0.0,0.0,,,0.0,10.0,2.5,4.88,143.0,3.491176471,28.13,7.817129014,8.511136517,3.997142857,36.01,7.0,35,2.0,53,4.5,2.435,4.448089668,162.0,4.01403339,3.022032905,5.064927737,3.333333333,4.759,2.840691538,6.626692153,6.131038725,0.705882353,4.473968723,3.816032146,127.0,8.681929975,6.590350125,5.509129891,11.22717527,6.292,9.27,5.0,6.370764967,123,8.48,2.28,6.22,18.9,5.842,10.395,6.847333333,2.923449494,0.479289941,1.701369717,2.172721042,1.45938346,0.769230769,0.75,4.332414369,1.82775715,3.137295311,161.0,0.0,5.997745041,5.0,3.665915014,4.033333333,5.816149328,6.522477468,6.0,7.755176154,3.0,3.231489261,5.194089364,4.21515425,3.777777778,2.61,4.764764243,3.841924068,4.641448047,8.771110914,2.58320696,5.331921974,4.508462605,156,4.46,161.0
2022,AGO,Angola,Sub-Saharan Africa,5.74,124.0,4.0,,,,5.22,3.48,8.59,4.85,5.0,10.0,0,7.5,9.42,12,10.0,0,4.33,7.98,7.75,8.17,7.65,9.38,7.93,8.32,6.67,7.49,6.62,6.67,6.64,6.89,6.77,4.89,2.5,3.33,6.67,4.17,7.17,8.66,6.91,7.58,7.2,5.96,10.0,0,10.0,0,10.0,5.36,4.78,6.74,9.09,6.78,6.55,2.5,5.56,3.33,5.59,10.0,10.0,10.0,5.0,,,5.0,10.0,7.5,6.42,107.0,7.944117647,12.99,9.702997275,1.59,7.742857143,22.9,9.0,25,7.0,33,8.0,4.1325,7.504494413,36.0,3.805763496,2.926922922,3.390938086,4.166666667,3.694333333,1.151100198,5.521624536,2.302500201,0.882352941,3.36998118,3.171746993,145.0,7.518841652,12.40579174,6.012620947,9.968447631,1.456,21.36,5.0,4.99686565,147,9.393333333,0.91,7.8,11.0,3.708,15.73,6.967111111,3.597555558,2.514792899,3.056174228,0.0,2.5,1.538461538,0.0,3.380395113,1.854714163,2.969499876,164.0,5.0,10.0,9.0,8.0,6.25,4.566382115,6.969782512,4.0,6.632764231,0.0,3.556020458,4.567849902,2.937894265,5.333333333,4.8625,4.641461652,4.443797313,3.427184987,7.916415529,1.25,4.197866839,5.302378513,140,4.79,155.0
2022,ARG,Argentina,Latin America & the Caribbean,6.93,80.0,2.0,,,,6.64,5.24,8.75,4.31,5.0,10.0,0,7.5,10.0,0,9.98,1,7.86,7.44,8.25,8.5,8.96,9.82,9.38,9.39,10.0,9.69,9.8,10.0,9.9,9.23,9.56,9.09,10.0,8.89,6.67,8.52,9.89,9.9,9.28,9.69,9.07,9.09,10.0,0,10.0,0,10.0,9.25,7.39,7.42,9.84,8.56,8.49,7.5,8.89,6.67,8.31,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,8.63,40.0,6.167647059,19.03,5.536784741,16.88,8.702857143,19.54,7.0,35,1.0,57,4.0,6.6875,6.218957789,111.0,4.844004947,4.256155951,4.792428414,7.5,4.524166667,3.377623941,6.857195103,5.955771804,0.882352941,5.263418353,4.953805509,85.0,0.0,53.37196592,5.180648859,12.04837785,0.0,71.43,5.0,2.545162215,162,4.213333333,8.68,7.34,13.3,5.8504,10.374,5.801244444,4.225541521,5.649711293,4.937626407,2.16730038,2.663057148,0.0,8.83,4.369282294,3.965584861,4.217939023,155.0,5.0,6.067319087,0.0,3.689106362,3.883333333,1.658011812,3.192984263,10.0,2.517253846,10.0,7.08607475,5.476808286,2.714232603,5.111111111,7.5475,4.504147403,4.969247779,6.144821889,5.726520614,3.380395113,5.083912538,4.804768742,148,4.55,159.0
2022,ARM,Armenia,Caucasus & Central Asia,7.91,42.0,2.0,,,,6.99,6.99,9.36,2.19,5.0,10.0,0,7.5,10.0,0,10.0,0,7.97,9.37,8.55,8.96,9.19,9.89,9.72,9.6,6.67,8.13,8.43,6.67,7.55,9.35,8.45,9.63,7.5,8.89,6.67,7.69,9.75,9.89,8.51,9.38,9.01,8.92,10.0,0,10.0,0,10.0,6.89,6.0,5.44,9.0,6.99,6.86,5.0,7.78,6.67,7.26,10.0,10.0,10.0,7.5,,,7.5,10.0,8.75,8.21,54.0,7.058823529,16.0,7.882833787,8.27,8.977142857,18.58,9.0,21,7.0,31,8.0,8.11,8.005760035,20.0,4.561466932,4.678912763,5.447385938,5.0,5.640916667,4.288543818,9.815934976,7.084930738,1.0,5.814761479,5.814761479,56.0,8.539681308,7.301593459,8.7946272,3.013432,6.544,8.64,10.0,8.469577127,46,9.56,0.66,8.74,6.3,8.2108,4.473,8.836933333,4.094873269,9.315389046,6.705131158,10.0,7.935262322,5.384615385,8.73,5.054189265,6.776016743,8.079520308,56.0,10.0,9.058066044,10.0,9.686022015,5.833333333,7.125862692,7.248644033,10.0,9.251725385,0.0,6.024245818,6.497687323,5.170405705,4.666666667,6.41,6.020368906,5.566860319,5.590882575,9.302574229,5.0,6.631152268,7.095430481,45,7.49,36.0
2022,AUS,Australia,Oceania,8.8,7.0,1.0,,,,7.96,7.75,9.76,0.83,10.0,10.0,0,10.0,9.87,2,9.96,1,8.52,9.78,9.73,9.75,9.3,9.49,9.42,9.4,10.0,9.7,9.72,10.0,9.86,9.88,9.87,9.48,10.0,,10.0,10.0,9.6,9.8,9.68,9.69,9.01,9.54,10.0,0,10.0,0,10.0,8.91,7.14,9.46,9.53,8.81,8.77,7.5,,10.0,9.07,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,9.38,12.0,2.605882353,31.14,6.313351499,14.03,9.46,16.89,5.0,45,4.0,47,4.5,7.84,6.14384677,117.0,8.46604427,8.064592211,9.222861528,10.0,8.980833333,7.841777063,8.13991275,7.95794487,1.0,8.584245753,8.584245753,9.0,8.702736023,6.486319887,9.126478896,2.183802761,7.364,6.59,10.0,8.79830373,23,8.926666667,1.61,9.52,2.4,9.0496,2.376,9.165422222,7.776422406,8.43343856,8.104930483,10.0,10.0,4.615384615,0.11,6.633172007,5.339639156,8.152497965,52.0,10.0,8.600005492,10.0,9.533335164,6.95,7.170433601,6.084423065,10.0,7.927854911,10.0,3.32918462,7.351699457,3.981757562,7.333333333,9.6925,8.16151036,7.292275314,9.357153453,8.953087141,7.96681037,8.759016988,8.234081731,6,7.98,9.0
2022,AUT,Austria,Western Europe,8.48,22.0,1.0,,,,7.31,7.64,9.74,0.88,10.0,10.0,0,10.0,8.88,6,7.69,23,8.87,9.69,9.3,9.52,9.68,9.34,9.41,9.48,10.0,9.74,8.11,10.0,9.06,8.66,8.86,7.28,10.0,,10.0,10.0,9.86,8.74,9.68,9.42,9.44,9.03,10.0,0,10.0,0,10.0,9.28,7.79,8.16,9.87,4.96,8.01,7.5,,10.0,8.88,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,9.1,22.0,3.329411765,28.68,2.980926431,26.26,10.0,13.4,4.0,55,3.0,59,3.5,6.3775,5.237567639,147.0,7.872975664,7.680700883,9.309419791,10.0,9.0025,7.156997526,8.10049394,9.298795064,1.0,8.552735358,8.552735358,10.0,7.774808568,11.12595716,9.387680179,1.530799553,6.58,8.55,10.0,8.435622187,49,9.674270297,0.488594555,8.98,5.1,6.838,7.905,8.497423432,7.078798215,9.981656882,8.530227549,10.0,10.0,3.076923077,9.16,8.449819883,7.67168574,8.67483418,26.0,8.0,8.715785923,10.0,8.905261974,8.2,8.75,2.489248117,6.0,10,3.0,4.751249353,6.170071067,4.46609656,6.888888889,7.21,6.765789116,6.332693641,7.935144778,7.296297347,6.956506145,7.395982757,7.20100236,40,7.62,23.0
2022,AZE,Azerbaijan,Caucasus & Central Asia,5.54,127.0,4.0,,,,4.53,4.53,9.44,1.91,5.0,7.83,40,7.5,10.0,0,10.0,0,1.07,7.03,6.92,8.18,5.45,8.9,8.42,7.59,6.67,7.13,5.12,3.33,4.23,2.35,3.29,0.73,0.0,2.22,3.33,1.85,4.38,9.19,4.95,6.17,3.33,3.02,4.14,2,0.0,24,2.07,3.0,3.33,0.53,7.03,3.57,3.49,0.0,1.11,3.33,2.0,10.0,10.0,10.0,7.5,,,10.0,10.0,9.38,5.36,127.0,5.85,20.11,7.72479564,8.85,0.0,57.6,9.0,25,4.0,44,6.5,3.135,4.641959128,159.0,4.111721439,2.977953036,4.653053283,5.0,4.142666667,6.126481204,7.61397477,7.551862796,0.823529412,5.272214149,4.807018783,91.0,7.605603456,11.97198272,2.919778067,17.70055483,4.46,13.85,10.0,6.246345381,127,8.729329852,1.906005222,8.36,8.2,5.8344,10.414,7.641243284,5.817269087,8.19983032,7.008549703,10.0,4.810536206,4.615384615,2.59,4.363143643,4.094766116,7.186139776,85.0,5.0,10.0,5.0,6.666666667,6.666666667,6.751725385,8.176879883,6.0,8.503450769,1.0,7.500275373,6.37128544,7.210695743,6.666666667,2.665,5.799056102,5.585354628,4.743219083,9.024509983,3.75,5.839243022,6.115637439,107,5.8,128.0
2022,BHS,"Bahamas, The",Latin America & the Caribbean,7.82,45.0,2.0,,,,,5.98,0.92,31.22,10.0,10.0,0,,10.0,0,10.0,0,,,10.0,5.46,,,,,10.0,10.0,,10.0,10.0,,10.0,,10.0,,10.0,10.0,,,,,,10.0,10.0,0,10.0,0,10.0,,,,,,,7.5,,10.0,9.17,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,8.66,39.0,6.811764706,16.84,8.465940054,6.13,10.0,6.12,10.0,0,10.0,9,10.0,,8.81942619,3.0,6.072929284,6.611801207,4.0,10.0,6.666666667,3.550641518,3.815500426,2.5,1.0,5.402192388,5.402192388,68.0,8.957351576,5.213242118,7.596220757,6.009448107,7.756,5.61,0.0,6.077393083,131,6.7,4.95,3.5,32.5,1.55,21.125,3.916666667,0.0,8.105924622,4.052962311,10.0,2.5,0.769230769,10.0,5.0,4.567307692,5.634234167,145.0,10.0,5.789678223,10.0,8.596559408,8.2,5.773212426,,8.0,6.546424852,10.0,5.0,7.25327288,,5.555555556,,6.631277199,6.093416377,8.00406519,7.982034036,6.25,7.412033075,7.338820435,30,6.65,81.0
2022,BHR,Bahrain,Middle East & North Africa,5.53,128.0,4.0,,,,4.23,4.23,9.98,0.07,10.0,10.0,0,5.0,10.0,0,10.0,0,2.65,4.52,7.45,8.72,4.26,7.64,6.89,6.26,3.33,4.8,4.59,3.33,3.96,2.01,2.99,1.22,0.0,0.0,0.0,0.0,3.48,3.21,2.87,3.19,1.95,1.59,10.0,0,0.0,29,5.0,1.11,2.23,0.27,7.01,1.42,2.41,0.0,0.0,0.0,1.48,10.0,10.0,10.0,0.0,,,0.0,10.0,5.0,4.11,156.0,3.396608329,28.45153168,9.433242507,2.58,10.0,11.19,10.0,0,10.0,17,10.0,4.0225,7.370470167,41.0,5.376062421,4.544437442,7.671740055,5.0,5.2075,4.892907209,9.403392422,8.225464026,0.647058824,6.290187947,5.18015478,75.0,9.941639174,0.291804129,7.619658141,5.950854648,8.548,3.63,10.0,9.027324329,12,9.680495947,0.47925608,9.1,4.5,8.56,3.6,9.113498649,7.15586702,6.6739774,6.91492221,10.0,8.75,6.153846154,7.11,7.478115956,7.372990527,8.350352847,45.0,10.0,5.924948089,10.0,8.641649363,6.666666667,6.014962686,8.05512031,8.0,7.029925373,10.0,6.01392587,7.397228701,6.061911583,8.0,2.755,9.873895077,6.672701665,8.051961842,9.755026554,5.688561252,7.831849883,7.635857403,21,7.51,34.0
