Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
pf_rol,-3937.758148936134,-881.9948110665977,324.8088277510283,-98.862356086283,-24.810464018670313,188.95038682232894,-263.36597590082516,41.15538742045168,-90.59228945321527,115.73096253434574,66.4397892672124,-29.133963701229902
pf_ss,-2653.3381147158398,-1151.0944736735923,475.06415991627597,-602.7663841703074,584.5083211787767,-287.79156808316884,100.52003514606291,1.231399053244205,14.324113289806988,-73.62611671392085,13.282167766765838,30.867583627147894
pf_movement,-3992.4508968729806,846.8076305635414,188.4755328157612,-41.93448038517944,35.30073312349189,-38.634168795806296,216.73939620276633,12.023650304063276,-19.09777905199485,42.78156105001062,-113.9180541448444,-217.453084233712
pf_religion,-3378.947477375254,1505.15902880155,175.02437059496836,-88.23287700393298,-92.29956098352959,-60.55986625539911,178.80121602565598,-20.71409200122152,15.104710733766922,31.85841628866774,190.6138400525232,-29.953605574247888
pf_assembly,-3703.2664665101797,1335.3250552919383,105.2840979666555,-146.3417682005602,-135.0315985836057,-45.7979848964096,-106.20212729593794,75.2166784476737,54.47729950903647,-54.32739189203471,-41.01529712194281,112.3674599123799
pf_expression,-3926.0543371702065,979.6366035238842,337.40059494242496,-237.48810429317228,-128.10569482623748,-10.27256768761752,-148.13439260172964,-69.73799088815245,-52.64842089521545,-57.94208028608068,-76.3976252246191,107.15274941292222
pf_identity,-3094.186480846557,356.13576360791853,103.78950645328804,955.8315170643755,487.2943381980943,42.23782600529436,23.47640168970125,1.0396032947022011,-16.32229407083551,-63.106426180585004,3.6428395955963424,52.86771090156623
ef_size,-32.302605185149126,1019.9420412558269,-1650.0490066637235,-305.46975466336886,397.42895351335835,138.5239430364586,-156.79507939371118,-3.465187422045069,-8.834616681636334,32.198544171271806,5.521960558410569,-24.253240880617824
ef_property,-4004.1515201483835,-798.6287409270723,184.83315885757423,79.26472975163695,8.826383449783753,266.78535137703005,-276.212252495827,-33.37223921316647,101.88464054122267,41.299877258673405,-2.3289627275057683,-81.09514179873634
ef_money,-3111.885145247575,-855.6820986990347,-834.9615682981805,191.38095505771622,-293.7796421557964,-470.2471260254282,-116.21435096230216,0.17963232892137976,-10.424800034874409,-206.6433587639542,25.772183074153702,-66.20504085064977
ef_trade,-3598.302220147407,-807.1819422166295,-649.3276523737634,130.99102642669095,-116.02354353349497,-250.36908517272124,174.35273088079563,-8.18693453148878,12.73046448059057,289.4817763288979,-31.76958871035754,102.18824110693926
ef_regulation,-3237.907654764903,-957.5118362102376,-516.1084807920374,-124.59091711856351,-155.506969605018,540.2307119069815,323.8039051709697,3.4995543568538636,-6.686379035082439,-148.20828002261646,-0.7115672376402813,51.15187738820748
