,PC1,PC2,PC3
pf_rol,-0.3338522162402067,0.2634412072288621,0.1509363015448675
pf_ss,-0.22648691184911673,0.33179974166746334,0.21768879788119422
pf_movement,-0.34012589229287166,-0.2458420746842386,0.08793313154971413
pf_religion,-0.2877743407149056,-0.4352801803038476,0.08306273265643314
pf_assembly,-0.31538652018236546,-0.3864877109826912,0.05043750177833367
pf_expression,-0.33444342753734374,-0.2834991061431862,0.15726239543378978
pf_identity,-0.26360518099283003,-0.10442484842487963,0.04760572289296003
ef_government,-0.002413607717572472,-0.29633398506935643,-0.7613825302027609
ef_legal,-0.3417230481755742,0.2305225869023923,0.08483972571919834
ef_money,-0.2653869708205734,0.2442864492131605,-0.38806418202838844
ef_trade,-0.3069673503460006,0.23082869000630846,-0.3017298329277047
ef_regulation,-0.27658319235325485,0.27575208184374733,-0.2389992085909915
